date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:59	73781/73781	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:30:24%20GMT	https://invitera.site/files/event/6/857daac900bea94e0f9c953c12b3ffb6.png	C:/weboffline/undangan/invitera.site/files/event/6/857daac900bea94e0f9c953c12b3ffb6.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:59	11398/11398	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:35:15%20GMT	https://invitera.site/files/event/6/c7c70f7195344af9a98393253a1faeca.png	C:/weboffline/undangan/invitera.site/files/event/6/c7c70f7195344af9a98393253a1faeca.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:59	24543/24543	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:41:10%20GMT	https://invitera.site/files/event/6/fb3467678aebc4fbb011ec1211549668.png	C:/weboffline/undangan/invitera.site/files/event/6/fb3467678aebc4fbb011ec1211549668.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:59	17623/17623	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:21:10%20GMT	https://invitera.site/files/themes/12/6283e3f4f01773cc106bef33eba93897.png	C:/weboffline/undangan/invitera.site/files/themes/12/6283e3f4f01773cc106bef33eba93897.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:59	21503/21503	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:42:32%20GMT	https://invitera.site/files/event/6/19784f15751b3367dc070415013c92c0.png	C:/weboffline/undangan/invitera.site/files/event/6/19784f15751b3367dc070415013c92c0.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:14:00	86351/86351	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.1.0/jquery.min.js	C:/weboffline/undangan/ajax.googleapis.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from https://invitera.site/jimmyclarissa/62818281616)
13:14:00	51160/51160	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:35:15%20GMT	https://invitera.site/files/event/6/051e2c0f89e78fb0dfb6d039f51290df.png	C:/weboffline/undangan/invitera.site/files/event/6/051e2c0f89e78fb0dfb6d039f51290df.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:14:00	13081/13081	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:35:15%20GMT	https://invitera.site/files/event/6/08b17082cf2b56b846a7446c3841a2b8.png	C:/weboffline/undangan/invitera.site/files/event/6/08b17082cf2b56b846a7446c3841a2b8.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:14:00	161419/161419	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Aug%202022%2003:38:28%20GMT	https://invitera.site/files/event/6/6f530bace73f9d4fbf1b5ea3e8fc2055.jpg	C:/weboffline/undangan/invitera.site/files/event/6/6f530bace73f9d4fbf1b5ea3e8fc2055.jpg	(from https://invitera.site/jimmyclarissa/62818281616)
13:14:01	149508/149508	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Aug%202022%2003:38:38%20GMT	https://invitera.site/files/event/6/2d53760f096ff19efde58a58b33ffdce.jpg	C:/weboffline/undangan/invitera.site/files/event/6/2d53760f096ff19efde58a58b33ffdce.jpg	(from https://invitera.site/jimmyclarissa/62818281616)
